"huc8","year","month","year_wtr","Power_diverted","consumtive_diverted","Forest_pct","prcp_sum","et_mean","swe_mean","inflow_wtr_mm","sum_cap_af","tmean","elevation","mng_medhigh_10yr_pct","BurnSev34_10yr_pct","pop_den","weighted_median_income","project","P_ET"
18010206,2023,4,2023,259089,2552.4,32.1696248984126,42.3054224853639,65.6170991522201,24.3477640147256,0,104922,7.66390461822691,1128.61976197,2.92880047505842,19.5145034880206,0.620183110237122,50710.2213128962,0,-23.3116766668562
18010206,2023,5,2023,288736,5112.3,32.1696248984126,51.930076719715,99.9104974329046,8.05504717200062,0,104922,14.1704653188357,1128.61976197,2.93294100818809,19.5145034880206,0.620183110237122,50710.2213128962,0,-47.9804207131896
18010206,2023,6,2023,137006,4640.3,32.1696248984126,35.236790595185,110.782198427567,0.39668734307258,0,104922,17.2981647116433,1128.61976197,2.93294100818809,19.5145034880206,0.620183110237122,50710.2213128962,0,-75.545407832382
18010206,2023,7,2023,91142,4469.6,32.1696248984126,0,119.260001690586,0,0,104922,23.1088911240377,1128.61976197,2.92982827255043,19.5145034880206,0.620183110237122,50710.2213128962,0,-119.260001690586
18010206,2023,8,2023,92289,4035.4,32.1696248984126,16.4841835197666,97.208633904058,0,0,104922,22.1225283688188,1128.61976197,3.05374413788413,19.5145034880206,0.620183110237122,50710.2213128962,0,-80.7244503842914
18010206,2023,9,2023,98233,3469,32.1696248984126,35.3895826920728,61.5600060436968,0,0,104922,16.1128458324431,1128.61976197,3.06116769070569,19.6886442882263,0.620183110237122,50710.2213128962,0,-26.170423351624
18010206,2023,10,2024,106673,1685.8,32.1696248984126,24.9087350467024,43.0615845679082,0,0,104922,11.9880597900658,1128.61976197,3.13202399022217,19.6886442882263,0.620183110237122,50710.2213128962,0,-18.1528495212058
18010206,2023,11,2024,97423,843.6,32.1696248984126,63.2152656550658,18.9190854018778,0,40.4942067035035,104922,6.16858625425002,1128.61976197,3.48361394709193,19.6886442882263,0.620183110237122,50710.2213128962,0,44.296180253188
18010206,2023,12,2024,77439,884.3,32.1696248984126,113.416768536858,12.8926960803605,0,111.441692319012,104922,4.55730463668208,1128.61976197,3.43569247651859,19.6886442882263,0.620183110237122,50710.2213128962,0,100.524072456498
18010206,2024,1,2024,50085,907.9,32.2693392599487,185.412799062234,17.5533739318341,1.16344936265558,190.136161877161,104922,4.20027317165911,1128.61976197,3.43569247651859,19.6886442882263,0.571949183940887,57354.4679839712,0,167.8594251304
